Record ID	Web ID	Genus/Morphon 	Feeding Preference	Trophic ID 	Taxon ID	Log(Abundance)	Log(averageMass)	Log(Biomass)	Soil pH	C-tot	N-tot	Airborne N	Total N-input	Manure-N	Manure-P	P-pore water	Soil phosphate	Soil-Ptot	Soil-Cd 	Soil-Cr	Soil-Cu	Soil-Hg	Soil-Ni	Soil-Pb	Soil-Zn	Mean rainfall	Max rainfall	Average-T	Average-Tmax	Latitude	Longitude	Vegetation cover (%)	Ecosystem Type ID
82	97	Acrobeloides	Bacterivore nematode	31	31003	4.46	-1.17	3.29	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
83	97	Alliphis	Predatory mite (attacking nematodes)	52	52004	3.74	0.05	3.79	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
84	97	Aphelenchoides	Fungivore nematode	21	21016	3.86	-1.5	2.36	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
85	97	Aphelenchus	Fungivore nematode	21	21018	4.16	-1.13	3.03	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
86	97	Aporrectodea	Substrate-ingesting lumbricids	45	45013	1.1	4.7	5.8	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
87	97	Arctoseius	Generalist mite	72	72007	1.98	-0.15	1.82	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
88	97	Bdellidae	Predatory mite (attacking arthropods)	62	62015	2.93	0.82	3.75	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
89	97	Cephalobidae	Bacterivore nematode	31	31032	3.86	-1.06	2.8	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
90	97	Cheiroseius (=Sejus)	Generalist mite	72	72026	2.45	0.36	2.81	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
91	97	Coslenchus	Plant-feeding nematode	11	11041	3.86	-0.82	3.04	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
92	97	Dauerlarvae stage	"Passive, substrate-related nematode"	41	41046	5.27	-0.8	4.47	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
93	97	Dendrolaelaps	Generalist mite	72	72034	2.28	0.03	2.3	5.2	43.2	3	28.2	381	353	89.9	34	370	799	0.19	16.6	8.6	0.05	5	10.3	20.6	1.4	13.3	20.3	30	52.75	6.35	91	1
